gender,ssc_p,hsc_p,degree_p,etest_p
M,67,91,58,55
M,79.33,78.33,77.48,86.5
M,65,68,64,75
M,56,52,52,66
M,85.8,73.6,73.3,96.8
M,55,49.8,67.25,55
F,46,49.2,79,74.28
M,82,64,66,67
M,73,79,72,91.34
M,58,70,61,54
M,58,61,60,62
M,69.6,68.4,78.3,60
F,47,55,65,62
F,77,87,59,68
M,62,47,50,76
F,65,75,69,72
M,63,66.2,65.6,60
F,55,67,64,60
F,63,66,64,68
M,60,67,70,50.48
M,62,65,66,50
F,79,76,85,95
F,69.8,60.8,72.23,55.53
F,77.4,60,64.74,92
F,52.58,54.6,50.2,76
M,71,79,66,94
M,63,67,66,68
M,76.76,76.5,67.5,73.35
M,62,67,58,77
F,64,73.5,73,52
F,67,53,65,64
F,61,81,66.4,50.89
F,87,65,81,88
M,62,51,52,68.44
F,69,78,72,71
M,51,44,57,64
F,79,76,65.6,58
F,73,58,66,53.7
M,81,68,64,93
F,78,77,80,60
F,74,63.16,65,65
M,87,87,68,95
F,77,73,81,89
F,76,64,72,58
F,70.89,71.98,65.6,68
M,63,60,57,78
M,63,62,68,64
F,75.2,73.2,68.4,65
M,54.4,61.12,56.2,67
F,40.89,45.83,53,71.2
M,80,70,72,87
F,74,60,69,78
M,60.4,66.6,65,71
M,63,71.4,61.4,68
M,68,76,74,80
M,74,62,68,74
M,52.6,65.58,72.11,57.6
M,74,70,72,60
M,84.2,73.4,66.89,61.6
F,86.5,64.2,67.4,59
M,61,70,64,68.5
M,80,73,75,61
M,54,47,57,89.69
M,83,74,66,68.92
M,80.92,78.5,67,68.71
F,69.7,47,72.7,79
M,73,73,66,70
M,82,61,62,89
M,75,70.29,71,95
M,84.86,67,78,95.5
M,64.6,83.83,71.72,86
M,56.6,64.8,70.2,84.27
F,59,62,77.5,74
F,66.5,70.4,71.93,61
M,64,80,65,69
M,84,90.9,64.5,86.04
F,69,62,66,75
F,69,62,69,67
M,81.7,63,67,86
M,63,67,74,82
M,84,79,68,84
M,70,63,70,55
F,83.84,89.83,77.2,78.74
M,62,63,64,67
M,59.6,51,60,75
F,66,62,73,58
F,84,75,69,62
F,85,90,82,92
M,52,57,50.8,67
F,60.23,69,66,72
M,52,62,54,72
M,58,62,64,53.88
M,73,78,65,95.46
F,76,70,76,66
F,70.5,62.5,61,93.91
F,69,73,65,70
M,54,82,63,50
F,45,57,58,56.39
M,63,72,68,78
F,77,61,68,57.5
M,73,78,73,85
M,69,63,65,55
M,59,64,58,85
M,61.08,50,54,71
M,82,90,83,80
M,61,82,69,84
M,52,63,65,86
F,69.5,70,72,57.2
M,51,54,61,60
M,58,61,61,58
F,73.96,79,67,72.15
M,65,68,69,53.7
F,73,63,66,89
M,68.2,72.8,66.6,96
M,77,75,73,80
M,76,80,78,97
M,60.8,68.4,64.6,82.66
F,64,67,69.6,55.67
F,66.5,66.8,69.3,80.4
M,74,59,73,60
M,67,71,64.33,64
F,84,73,73,75
F,79,61,75.5,70
F,72,60,69,55.5
M,80.4,73.4,77.72,81.2
M,76.7,89.7,66,90
M,62,65,60,84
F,74.9,57,62,80
M,67,68,64,74.4
M,73,64,77,65
F,72,56,69,55.6
F,47,59,64,78
M,67,63,72,56
F,82,64,73,96
M,77,70,59,58
M,65,64.8,69.5,56
M,66,64,60,60
M,85,60,73.43,60
M,77.67,64.89,70.67,89
M,52,50,61,60
M,89.4,65.66,71.25,72
M,62,63,66,85
M,70,74,65,83
F,77,86,56,57
M,44,58,55,64.25
M,71,58.66,58,56
M,65,65,75,83
F,75.4,60.5,84,98
M,49,59,65,86
M,53,63,60,70
M,51.57,74.66,59.9,56.15
M,84.2,69.4,65,80
M,66.5,62.5,60.9,93.4
M,67,63,64,60
M,52,49,58,62
M,87,74,65,75
M,55.6,51,57.5,57.63
M,74.2,87.6,77.25,75.2
M,63,67,64,75
F,67.16,72.5,63.35,53.04
F,63.3,78.33,74,80
M,62,62,60,63
M,67.9,62,67,58.1
F,48,51,58,60
F,63.4,67.2,60,58.06
M,80,80,72,63.79
M,73,58,56,84
F,52,52,55,67
M,73.24,50.83,64.27,64
M,63,62,65,87.5
F,59,60,56,55
M,68,56,68,73
F,77.8,64,64.2,75.5
M,65,71.5,62.8,57
M,62,60.33,64.21,63
M,52,65,57,75
M,65,77,69,60
F,56.28,62.83,59.79,60
F,88,72,78,82
F,52,64,61,55
M,78.5,65.5,67,95
M,61.8,47,54.38,57
F,54,77.6,69.2,95.65
F,64,70.2,61,50
M,67,61,72,72
M,65.2,61.4,64.8,93.4
F,60,63,56,80
M,52,55,56.3,59
M,66,76,72,84
M,72,63,77.5,78
F,67,70,65,88
M,69,65,57,73
M,69,60,65,87.55
M,54.2,63,58,79
M,70,63,66,61.28
M,55.68,61.33,56.87,66
F,74,73,73,80
M,61,62,65,62
M,83.33,78,61,88.56
F,43,60,65,92.66
M,62,72,65,67
M,80.6,82,77.6,91
M,58,60,72,74
M,67,67,73,59
F,74,66,58,70
M,62,58,53,89
M,67,91,58,55
M,79.33,78.33,77.48,86.5
M,65,68,64,75
M,56,52,52,66
M,85.8,73.6,73.3,96.8
M,55,49.8,67.25,55
F,46,49.2,79,74.28
M,82,64,66,67
M,73,79,72,91.34
M,58,70,61,54
M,58,61,60,62
M,69.6,68.4,78.3,60
F,47,55,65,62
F,77,87,59,68
M,62,47,50,76
F,65,75,69,72
M,63,66.2,65.6,60
F,55,67,64,60
F,63,66,64,68
M,60,67,70,50.48
M,62,65,66,50
F,79,76,85,95
F,69.8,60.8,72.23,55.53
F,77.4,60,64.74,92
F,52.58,54.6,50.2,76
M,71,79,66,94
M,63,67,66,68
M,76.76,76.5,67.5,73.35
M,62,67,58,77
F,64,73.5,73,52
F,67,53,65,64
F,61,81,66.4,50.89
F,87,65,81,88
M,62,51,52,68.44
F,69,78,72,71
M,51,44,57,64
F,79,76,65.6,58
F,73,58,66,53.7
M,81,68,64,93
F,78,77,80,60
F,74,63.16,65,65
M,87,87,68,95
F,77,73,81,89
F,76,64,72,58
F,70.89,71.98,65.6,68
M,63,60,57,78
M,63,62,68,64
F,75.2,73.2,68.4,65
M,54.4,61.12,56.2,67
F,40.89,45.83,53,71.2
M,80,70,72,87
F,74,60,69,78
M,60.4,66.6,65,71
M,63,71.4,61.4,68
M,68,76,74,80
M,74,62,68,74
M,52.6,65.58,72.11,57.6
M,74,70,72,60
M,84.2,73.4,66.89,61.6
F,86.5,64.2,67.4,59
M,61,70,64,68.5
M,80,73,75,61
M,54,47,57,89.69
M,83,74,66,68.92
M,80.92,78.5,67,68.71
F,69.7,47,72.7,79
M,73,73,66,70
M,82,61,62,89
M,75,70.29,71,95
M,84.86,67,78,95.5
M,64.6,83.83,71.72,86
M,56.6,64.8,70.2,84.27
F,59,62,77.5,74
F,66.5,70.4,71.93,61
M,64,80,65,69
M,84,90.9,64.5,86.04
F,69,62,66,75
F,69,62,69,67
M,81.7,63,67,86
M,63,67,74,82
M,84,79,68,84
M,70,63,70,55
F,83.84,89.83,77.2,78.74
M,62,63,64,67
M,59.6,51,60,75
F,66,62,73,58
F,84,75,69,62
F,85,90,82,92
M,52,57,50.8,67
F,60.23,69,66,72
M,52,62,54,72
M,58,62,64,53.88
M,73,78,65,95.46
F,76,70,76,66
F,70.5,62.5,61,93.91
F,69,73,65,70
M,54,82,63,50
F,45,57,58,56.39
M,63,72,68,78
F,77,61,68,57.5
M,73,78,73,85
M,69,63,65,55
M,59,64,58,85
M,61.08,50,54,71
M,82,90,83,80
M,61,82,69,84
M,52,63,65,86
F,69.5,70,72,57.2
M,51,54,61,60
M,58,61,61,58
F,73.96,79,67,72.15
M,65,68,69,53.7
F,73,63,66,89
M,68.2,72.8,66.6,96
M,77,75,73,80
M,76,80,78,97
M,60.8,68.4,64.6,82.66
F,64,67,69.6,55.67
F,66.5,66.8,69.3,80.4
M,74,59,73,60
M,67,71,64.33,64
F,84,73,73,75
F,79,61,75.5,70
F,72,60,69,55.5
M,80.4,73.4,77.72,81.2
M,76.7,89.7,66,90
M,62,65,60,84
F,74.9,57,62,80
M,67,68,64,74.4
M,73,64,77,65
F,72,56,69,55.6
F,47,59,64,78
M,67,63,72,56
F,82,64,73,96
M,77,70,59,58
M,65,64.8,69.5,56
M,66,64,60,60
M,85,60,73.43,60
M,77.67,64.89,70.67,89
M,52,50,61,60
M,89.4,65.66,71.25,72
M,62,63,66,85
M,70,74,65,83
F,77,86,56,57
M,44,58,55,64.25
M,71,58.66,58,56
M,65,65,75,83
F,75.4,60.5,84,98
M,49,59,65,86
M,53,63,60,70
M,51.57,74.66,59.9,56.15
M,84.2,69.4,65,80
M,66.5,62.5,60.9,93.4
M,67,63,64,60
M,52,49,58,62
M,87,74,65,75
M,55.6,51,57.5,57.63
M,74.2,87.6,77.25,75.2
M,63,67,64,75
F,67.16,72.5,63.35,53.04
F,63.3,78.33,74,80
M,62,62,60,63
M,67.9,62,67,58.1
F,48,51,58,60
F,63.4,67.2,60,58.06
M,80,80,72,63.79
M,73,58,56,84
F,52,52,55,67
M,73.24,50.83,64.27,64
M,63,62,65,87.5
F,59,60,56,55
M,68,56,68,73
F,77.8,64,64.2,75.5
M,65,71.5,62.8,57
M,62,60.33,64.21,63
M,52,65,57,75
M,65,77,69,60
F,56.28,62.83,59.79,60
F,88,72,78,82
F,52,64,61,55
M,78.5,65.5,67,95
M,61.8,47,54.38,57
F,54,77.6,69.2,95.65
F,64,70.2,61,50
M,67,61,72,72
M,65.2,61.4,64.8,93.4
F,60,63,56,80
M,52,55,56.3,59
M,66,76,72,84
M,72,63,77.5,78
F,67,70,65,88
M,69,65,57,73
M,69,60,65,87.55
M,54.2,63,58,79
M,70,63,66,61.28
M,55.68,61.33,56.87,66
F,74,73,73,80
M,61,62,65,62
M,83.33,78,61,88.56
F,43,60,65,92.66
M,62,72,65,67
M,80.6,82,77.6,91
M,58,60,72,74
M,67,67,73,59
F,74,66,58,70
M,62,58,53,89
M,67,91,58,55
M,79.33,78.33,77.48,86.5
M,65,68,64,75
M,56,52,52,66
M,85.8,73.6,73.3,96.8
M,55,49.8,67.25,55
F,46,49.2,79,74.28
M,82,64,66,67
M,73,79,72,91.34
M,58,70,61,54
M,58,61,60,62
M,69.6,68.4,78.3,60
F,47,55,65,62
F,77,87,59,68
M,62,47,50,76
F,65,75,69,72
M,63,66.2,65.6,60
F,55,67,64,60
F,63,66,64,68
M,60,67,70,50.48
M,62,65,66,50
F,79,76,85,95
F,69.8,60.8,72.23,55.53
F,77.4,60,64.74,92
F,52.58,54.6,50.2,76
M,71,79,66,94
M,63,67,66,68
M,76.76,76.5,67.5,73.35
M,62,67,58,77
F,64,73.5,73,52
F,67,53,65,64
F,61,81,66.4,50.89
F,87,65,81,88
M,62,51,52,68.44
F,69,78,72,71
M,51,44,57,64
F,79,76,65.6,58
F,73,58,66,53.7
M,81,68,64,93
F,78,77,80,60
F,74,63.16,65,65
M,87,87,68,95
F,77,73,81,89
F,76,64,72,58
F,70.89,71.98,65.6,68
M,63,60,57,78
M,63,62,68,64
F,75.2,73.2,68.4,65
M,54.4,61.12,56.2,67
F,40.89,45.83,53,71.2
M,80,70,72,87
F,74,60,69,78
M,60.4,66.6,65,71
M,63,71.4,61.4,68
M,68,76,74,80
M,74,62,68,74
M,52.6,65.58,72.11,57.6
M,74,70,72,60
M,84.2,73.4,66.89,61.6
F,86.5,64.2,67.4,59
M,61,70,64,68.5
M,80,73,75,61
M,54,47,57,89.69
M,83,74,66,68.92
M,80.92,78.5,67,68.71
F,69.7,47,72.7,79
M,73,73,66,70
